"Airbnbid","host_id","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"8024","22486","Brooklyn","Park Slope","40.68069","-73.97706","Private room","130","2","130","2019-07-01","1.09","6","347"
"8025","22486","Brooklyn","Park Slope","40.67989","-73.97798","Private room","80","1","39","2019-01-01","0.37","6","364"
"8110","22486","Brooklyn","Park Slope","40.68001","-73.97865","Private room","110","2","71","2019-07-02","0.61","6","304"
"8490","25183","Brooklyn","Bedford-Stuyvesant","40.68371","-73.94028","Entire home/apt","120","2","88","2019-06-19","0.73","2","233"
"8505","25326","Brooklyn","Windsor Terrace","40.65599","-73.97519","Private room","60","1","19","2019-06-23","1.37","2","85"
"9357","30193","Manhattan","Hell's Kitchen","40.76715","-73.98533","Entire home/apt","150","10","58","2017-08-13","0.49","1","75"
"9518","31374","Manhattan","Inwood","40.86482","-73.92106","Private room","44","3","108","2019-06-15","1.11","3","311"
"9657","21904","Manhattan","East Village","40.7292","-73.98542","Entire home/apt","180","14","29","2019-04-19","0.24","1","67"
"9668","32294","Manhattan","Harlem","40.82245","-73.95104","Private room","50","3","242","2019-06-01","2.04","3","355"
"9704","32045","Manhattan","Harlem","40.81305","-73.95466","Private room","52","2","88","2019-06-14","1.42","1","255"
"9782","32169","Brooklyn","Greenpoint","40.72219","-73.93762","Private room","55","4","197","2019-06-15","1.65","3","284"
"9783","32294","Manhattan","Harlem","40.8213","-73.95318","Private room","50","3","273","2019-07-01","2.37","3","359"
"10452","35935","Brooklyn","Bedford-Stuyvesant","40.6831","-73.95473","Private room","70","1","74","2019-05-12","0.66","2","269"
"10962","9744","Brooklyn","South Slope","40.66869","-73.9878","Private room","89","4","168","2019-06-21","1.41","3","340"
"11452","7355","Brooklyn","Bedford-Stuyvesant","40.68876","-73.94312","Private room","35","60","0","","null","1","365"
"11708","44145","Brooklyn","Bushwick","40.70186","-73.92745","Entire home/apt","85","2","231","2019-06-22","1.96","2","22"
"11943","45445","Brooklyn","Flatbush","40.63702","-73.96327","Private room","150","1","0","","null","1","365"
"12048","7549","Manhattan","Lower East Side","40.71401","-73.98917","Shared room","40","1","214","2019-07-05","1.81","4","188"
"12192","46978","Manhattan","East Village","40.7229","-73.98199","Private room","68","2","245","2019-06-21","2.08","2","96"
"12299","47610","Brooklyn","South Slope","40.66278","-73.97966","Entire home/apt","120","3","15","2019-05-27","0.39","1","345"
"12303","47618","Brooklyn","Fort Greene","40.69673","-73.97584","Private room","120","7","25","2018-09-30","0.23","1","311"
"12318","16800","Manhattan","Upper West Side","40.79009","-73.97927","Private room","135","4","81","2019-06-16","0.69","1","273"
"12343","47727","Manhattan","Harlem","40.81175","-73.94478","Entire home/apt","150","7","97","2019-06-13","0.84","1","309"
"12627","49670","Brooklyn","Prospect-Lefferts Gardens","40.65944","-73.96238","Entire home/apt","150","29","11","2019-06-05","0.49","1","95"
"12937","50124","Queens","Long Island City","40.74771","-73.9474","Private room","130","3","248","2019-07-01","2.25","1","215"
"12940","50148","Brooklyn","Bedford-Stuyvesant","40.68111","-73.95591","Entire home/apt","110","7","61","2019-05-25","0.52","1","265"
"13394","52335","Brooklyn","Fort Greene","40.69142","-73.97376","Private room","80","3","135","2019-06-17","1.16","2","192"
"13808","54275","Brooklyn","Bedford-Stuyvesant","40.68043","-73.93934","Private room","80","1","112","2019-06-16","1.01","3","251"
"14287","56094","Manhattan","Upper West Side","40.78635","-73.97008","Entire home/apt","151","2","73","2019-07-07","0.63","1","302"
"14290","56104","Brooklyn","Williamsburg","40.7042","-73.9356","Entire home/apt","228","3","82","2019-05-17","0.7","1","140"
"14314","56246","Brooklyn","Greenpoint","40.73506","-73.95392","Entire home/apt","144","2","328","2019-06-29","2.82","1","234"
"14322","56284","Manhattan","Kips Bay","40.73961","-73.98074","Entire home/apt","200","7","19","2019-03-25","0.22","1","257"
"14377","56512","Brooklyn","Williamsburg","40.70881","-73.9593","Entire home/apt","150","30","105","2019-06-22","0.9","1","30"
"14991","59023","Manhattan","Lower East Side","40.72004","-73.99104","Private room","110","5","19","2019-05-18","0.17","1","301"
"15220","59734","Manhattan","Hell's Kitchen","40.75531","-73.99293","Private room","69","2","289","2019-06-09","2.49","2","294"
"15338","32169","Brooklyn","Greenpoint","40.72401","-73.93788","Private room","49","4","138","2019-06-04","1.19","3","320"
"15341","60049","Manhattan","SoHo","40.7221","-73.99775","Entire home/apt","180","30","21","2019-06-29","0.3","1","154"
"15385","60252","Brooklyn","Williamsburg","40.71185","-73.96204","Private room","80","2","42","2019-06-30","0.38","1","263"
"15396","60278","Manhattan","Chelsea","40.74623","-73.9953","Entire home/apt","375","180","5","2018-11-03","0.12","1","180"
"15711","61491","Manhattan","Upper East Side","40.77065","-73.95269","Entire home/apt","250","2","66","2019-03-30","0.57","2","231"
"16326","63588","Brooklyn","Prospect Heights","40.67811","-73.96428","Entire home/apt","200","30","143","2019-01-26","1.33","2","297"
"16338","63613","Brooklyn","Clinton Hill","40.69","-73.96788","Private room","55","7","27","2017-09-30","0.23","2","292"
"16421","63924","Manhattan","Hell's Kitchen","40.75979","-73.99119","Private room","52","30","191","2019-05-16","1.65","1","191"
"16580","64442","Manhattan","East Village","40.72649","-73.97904","Private room","80","1","338","2019-07-01","4.72","2","72"
"16595","64522","Brooklyn","Williamsburg","40.70933","-73.96792","Entire home/apt","275","1","148","2019-06-23","1.4","1","362"
"16821","4396","Manhattan","East Village","40.72298","-73.98474","Private room","99","1","106","2019-06-21","1.26","2","336"
"16974","65837","Manhattan","East Harlem","40.80164","-73.93922","Entire home/apt","225","4","190","2019-06-23","1.64","1","215"
"17037","66035","Manhattan","East Village","40.72162","-73.98008","Entire home/apt","230","9","49","2018-05-14","0.43","1","116"
"17092","66243","Manhattan","Hell's Kitchen","40.76342","-73.98865","Private room","51","7","23","2019-06-01","0.43","1","88"
"17693","68428","Manhattan","Washington Heights","40.83139","-73.94095","Private room","65","2","49","2019-06-18","1.6","2","336"
"17747","68599","Brooklyn","Clinton Hill","40.68346","-73.96374","Private room","105","2","105","2019-06-26","0.92","1","304"
"18127","69829","Manhattan","East Village","40.72828","-73.98801","Entire home/apt","190","5","21","2019-01-02","0.2","1","224"
"18152","69942","Manhattan","Upper East Side","40.76865","-73.95058","Private room","200","1","142","2019-07-06","1.5","1","322"
"18198","70091","Queens","Woodside","40.75038","-73.90334","Private room","70","30","25","2019-05-31","0.22","1","324"
"18590","71512","Brooklyn","Fort Greene","40.6932","-73.97267","Private room","95","3","143","2019-06-16","1.28","1","132"
"18728","71876","Manhattan","Chelsea","40.74138","-74.00197","Private room","150","3","167","2019-05-28","1.65","1","295"
"19159","73051","Manhattan","Harlem","40.82915","-73.95136","Entire home/apt","110","31","54","2019-03-23","0.49","1","209"
"19169","73128","Manhattan","Lower East Side","40.71851","-73.98892","Entire home/apt","285","5","70","2019-06-30","0.62","1","328"
"19282","73469","Brooklyn","Flatbush","40.65401","-73.96323","Entire home/apt","130","6","16","2019-06-15","0.15","1","38"
"19319","44263","Manhattan","Lower East Side","40.7114","-73.98794","Private room","94","30","94","2019-04-08","0.84","1","188"
"19601","74303","Brooklyn","Brooklyn Heights","40.69723","-73.99268","Entire home/apt","800","1","25","2016-08-04","0.24","1","7"
"19812","74857","Brooklyn","Williamsburg","40.71833","-73.95748","Entire home/apt","105","3","61","2018-08-09","0.53","1","272"
"20299","62407","Manhattan","East Village","40.72334","-73.9844","Private room","60","3","194","2019-06-30","1.73","1","26"
"20724","961342","Brooklyn","Bushwick","40.70032","-73.9383","Private room","65","4","24","2019-05-26","0.28","1","317"
"20734","78460","Brooklyn","Prospect Heights","40.68233","-73.97261","Entire home/apt","131","4","166","2019-06-27","3.4","1","207"
"20755","51038","Brooklyn","Clinton Hill","40.68634","-73.966","Private room","98","7","16","2019-05-31","0.2","6","185"
"20853","79070","Brooklyn","Prospect Heights","40.68035","-73.97162","Entire home/apt","250","7","21","2019-05-21","0.3","1","158"
"21293","44145","Brooklyn","Bushwick","40.70093","-73.92609","Entire home/apt","105","3","118","2019-06-18","1.05","2","9"
"21456","42032","Manhattan","Upper West Side","40.79764","-73.96177","Entire home/apt","140","3","81","2019-07-07","0.71","1","198"
"21644","82685","Manhattan","Harlem","40.82803","-73.94731","Private room","89","1","1","2018-10-09","0.11","1","365"
"21794","83257","Manhattan","Chelsea","40.74008","-74.00271","Private room","98","30","30","2019-05-01","0.27","2","364"
"22911","87773","Brooklyn","Bedford-Stuyvesant","40.68413","-73.92357","Entire home/apt","125","7","139","2018-10-28","1.23","2","311"
"22918","32294","Manhattan","Harlem","40.82279","-73.95139","Private room","60","3","11","2019-01-03","0.87","3","219"
"23135","11481","Brooklyn","Carroll Gardens","40.67967","-74.00154","Entire home/apt","175","2","233","2019-06-24","2.09","3","342"
"23501","63318","Manhattan","Washington Heights","40.83927","-73.94281","Private room","65","2","68","2012-11-01","0.6","1","312"
"23686","93790","Manhattan","West Village","40.73096","-74.00319","Entire home/apt","500","4","46","2019-05-18","0.55","2","243"
"24143","97219","Brooklyn","Williamsburg","40.71332","-73.94177","Private room","101","3","335","2019-05-29","3.02","1","152"
"24285","97797","Brooklyn","Park Slope","40.66941","-73.98109","Entire home/apt","220","30","88","2018-11-02","0.79","1","9"
"25235","87773","Brooklyn","Bedford-Stuyvesant","40.68373","-73.92377","Entire home/apt","125","90","162","2019-06-28","1.46","2","137"
"25406","105538","Brooklyn","Williamsburg","40.71459","-73.94844","Entire home/apt","80","30","29","2018-05-26","0.4","1","222"
"25696","107628","Manhattan","Harlem","40.8092","-73.94421","Private room","100","2","170","2019-06-23","1.61","1","346"
"26012","109589","Brooklyn","Gowanus","40.68157","-73.98989","Entire home/apt","200","30","19","2017-03-17","0.2","1","208"
"26362","59734","Manhattan","Hell's Kitchen","40.75527","-73.99291","Private room","59","2","334","2019-06-16","3","2","279"
"26520","51038","Brooklyn","Clinton Hill","40.68698","-73.96572","Private room","125","2","19","2019-06-02","0.2","6","250"
"26559","112793","Manhattan","East Village","40.7288","-73.98192","Entire home/apt","140","7","12","2017-12-11","0.13","1","164"
"26785","42273","Brooklyn","South Slope","40.66853","-73.98912","Entire home/apt","120","30","467","2018-12-30","4.22","2","192"
"26933","72062","Manhattan","East Village","40.7254","-73.98157","Entire home/apt","350","2","7","2017-08-09","0.06","4","298"
"26954","115157","Manhattan","Kips Bay","40.74294","-73.98009","Entire home/apt","199","5","38","2015-12-02","0.38","1","260"
"26969","115307","Brooklyn","Williamsburg","40.71942","-73.95748","Entire home/apt","325","3","324","2019-06-23","3.01","1","107"
"27006","115560","Manhattan","Upper West Side","40.77823","-73.97637","Entire home/apt","235","6","27","2019-04-27","0.27","1","199"
"27385","72062","Manhattan","East Village","40.72555","-73.97965","Entire home/apt","225","1","115","2019-06-07","1.05","4","299"
"27531","118971","Brooklyn","South Slope","40.66831","-73.98604","Private room","99","2","354","2019-05-20","3.2","3","20"
"27644","119510","Manhattan","Harlem","40.82754","-73.94919","Entire home/apt","170","2","195","2019-07-01","2.03","1","318"
"27659","119588","Brooklyn","South Slope","40.66499","-73.97925","Entire home/apt","400","2","16","2018-12-30","0.24","2","216"
"27759","119900","Manhattan","Upper West Side","40.77842","-73.97556","Entire home/apt","170","7","13","2019-06-26","0.12","1","224"
"28321","65091","Brooklyn","Prospect-Lefferts Gardens","40.65593","-73.96053","Private room","75","2","9","2018-10-05","0.08","1","324"
"28396","6197784","Brooklyn","Williamsburg","40.71923","-73.96468","Private room","90","1","9","2011-09-18","0.08","1","245"
"28907","124352","Manhattan","Upper East Side","40.778","-73.94822","Entire home/apt","150","5","21","2017-08-15","0.19","1","189"
"29012","124797","Manhattan","Washington Heights","40.85879","-73.93128","Private room","85","15","36","2017-08-17","0.33","1","307"
"29013","35935","Brooklyn","Bedford-Stuyvesant","40.68332","-73.9547","Private room","70","3","63","2019-05-14","0.58","2","310"
"29455","126607","Manhattan","Harlem","40.81618","-73.94894","Entire home/apt","120","3","155","2019-06-20","1.42","3","213"
"29628","127608","Brooklyn","Clinton Hill","40.68414","-73.96351","Private room","89","3","260","2019-07-03","2.35","1","278"
"29683","125857","Manhattan","East Village","40.72392","-73.99143","Entire home/apt","185","5","73","2019-06-25","0.66","1","209"
"30927","120335","Manhattan","Lower East Side","40.71341","-73.98856","Entire home/apt","105","3","32","2019-06-14","0.29","1","16"
"31130","117287","Manhattan","Hell's Kitchen","40.76754","-73.98399","Private room","130","2","50","2019-05-26","0.45","3","234"
"31555","135619","Manhattan","West Village","40.73442","-74.00303","Entire home/apt","115","29","26","2019-07-01","0.25","1","12"
"31902","137292","Brooklyn","Flatlands","40.63188","-73.93248","Private room","77","2","2","2019-01-01","0.02","1","178"
"31994","137814","Brooklyn","Clinton Hill","40.6873","-73.9634","Private room","76","2","426","2019-06-24","3.89","3","275"
"32023","137974","Brooklyn","Bedford-Stuyvesant","40.68296","-73.93662","Entire home/apt","125","3","227","2019-06-23","2.09","2","163"
"32037","116599","Brooklyn","Clinton Hill","40.6863","-73.96765","Private room","135","4","84","2019-07-01","0.77","3","365"
"32100","138579","Brooklyn","Greenpoint","40.73409","-73.95348","Entire home/apt","250","29","3","2017-07-30","0.03","1","34"
"32289","139612","Brooklyn","Williamsburg","40.71561","-73.94835","Entire home/apt","199","3","10","2018-06-11","0.1","1","280"
"32363","140025","Queens","Flushing","40.74028","-73.83168","Private room","140","2","1","2011-09-19","0.01","1","1"
"32965","137974","Brooklyn","Bedford-Stuyvesant","40.68281","-73.93524","Entire home/apt","115","3","124","2019-06-20","1.72","2","170"
"32969","142833","Brooklyn","Williamsburg","40.71596","-73.93938","Entire home/apt","160","3","11","2019-07-02","0.11","1","188"
"33009","143027","Brooklyn","Williamsburg","40.71492","-73.95935","Entire home/apt","195","4","240","2019-06-17","2.19","1","214"
"33014","143048","Manhattan","East Village","40.72354","-73.98295","Entire home/apt","195","3","30","2019-06-17","0.28","1","248"
"34760","149929","Brooklyn","Fort Greene","40.69101","-73.97312","Private room","44","8","27","2019-06-29","1.05","5","280"
"35526","120291","Manhattan","West Village","40.73474","-74.00101","Private room","156","4","79","2019-06-22","0.74","1","307"
"36121","62165","Brooklyn","Prospect Heights","40.67386","-73.96641","Private room","85","15","9","2013-05-10","0.09","1","339"
"36133","142684","Brooklyn","Williamsburg","40.71536","-73.96057","Private room","125","3","155","2019-06-13","1.61","1","1"
"36442","137432","Brooklyn","Prospect Heights","40.6741","-73.96595","Entire home/apt","115","15","4","2018-08-27","0.05","1","269"
"36647","157798","Manhattan","East Harlem","40.79295","-73.93997","Private room","69","2","34","2017-05-29","0.32","1","10"
"36703","158284","Manhattan","West Village","40.73226","-74.00401","Entire home/apt","225","45","134","2019-03-31","1.24","1","312"
"36934","159370","Brooklyn","Williamsburg","40.71363","-73.96398","Entire home/apt","125","6","27","2018-12-27","0.25","1","189"
"38638","92788","Manhattan","Upper East Side","40.77711","-73.9527","Entire home/apt","219","4","126","2019-06-26","1.16","2","290"
"38663","165789","Brooklyn","Boerum Hill","40.68559","-73.98094","Entire home/apt","475","3","23","2018-12-31","0.27","1","230"
"39267","168417","Manhattan","Upper East Side","40.77456","-73.95323","Entire home/apt","99","1","234","2019-06-08","2.6","2","164"
"39282","168525","Brooklyn","Williamsburg","40.71088","-73.95055","Private room","69","4","202","2019-05-28","1.86","2","53"
"39593","110506","Queens","Sunnyside","40.74559","-73.92313","Private room","79","30","28","2019-04-12","0.26","1","126"
"39704","170510","Brooklyn","Bedford-Stuyvesant","40.68306","-73.94659","Entire home/apt","135","2","309","2019-06-22","2.86","2","3"
"40039","171851","Brooklyn","DUMBO","40.70207","-73.98571","Private room","250","3","14","2011-04-25","0.13","1","189"
"40453","174025","Manhattan","Upper East Side","40.76123","-73.9642","Entire home/apt","250","3","4","2016-09-23","0.08","1","365"
"42580","137814","Brooklyn","Clinton Hill","40.68843","-73.96408","Private room","70","2","294","2019-06-24","3.47","3","336"
"42729","11481","Brooklyn","Carroll Gardens","40.6783","-74.00135","Entire home/apt","165","2","150","2019-06-18","1.4","3","342"
"42882","185978","Staten Island","St. George","40.64524","-74.08088","Private room","70","2","166","2019-06-13","1.66","1","312"
"43957","177536","Brooklyn","Bushwick","40.70641","-73.91765","Private room","50","2","47","2019-06-19","0.94","1","37"
"44096","190409","Bronx","Highbridge","40.83232","-73.93184","Private room","40","1","219","2019-07-04","2.04","3","353"
"44161","193360","Brooklyn","Williamsburg","40.71045","-73.9677","Entire home/apt","150","2","193","2016-07-06","1.78","1","177"
"44212","72062","Manhattan","East Village","40.72518","-73.98034","Private room","125","1","84","2019-06-23","0.78","4","310"
"44229","181376","Brooklyn","Fort Greene","40.69098","-73.97113","Private room","110","2","213","2019-06-24","2","2","321"
"44288","193637","Manhattan","West Village","40.73756","-74.00405","Entire home/apt","170","3","86","2019-06-01","0.8","1","246"
"44506","126607","Manhattan","Harlem","40.81526","-73.94791","Entire home/apt","165","3","80","2019-05-26","0.75","3","231"
"45393","201297","Manhattan","West Village","40.73423","-74.0046","Entire home/apt","150","26","38","2016-04-20","0.36","1","225"
"45910","204539","Queens","Ridgewood","40.70382","-73.89797","Entire home/apt","350","8","10","2019-05-12","0.11","5","365"
"45936","867225","Manhattan","Morningside Heights","40.80549","-73.95924","Private room","99","4","122","2019-05-14","1.18","2","233"
"45940","204724","Brooklyn","Williamsburg","40.71627","-73.9587","Entire home/apt","200","4","33","2019-04-08","0.58","1","1"
"46544","8198","Brooklyn","Park Slope","40.67994","-73.97863","Entire home/apt","150","5","52","2019-06-05","0.5","1","18"
"46723","209460","Brooklyn","Bedford-Stuyvesant","40.67992","-73.9475","Private room","90","3","126","2019-05-19","1.17","4","343"
"46911","210746","Brooklyn","Prospect Heights","40.67868","-73.97307","Private room","120","3","51","2019-06-24","0.48","3","250"
"47199","212722","Manhattan","Upper East Side","40.76834","-73.95334","Private room","75","3","199","2019-06-24","1.85","1","326"
"47362","214148","Brooklyn","Bedford-Stuyvesant","40.68237","-73.9415","Entire home/apt","175","26","30","2012-09-03","0.29","1","364"
"47926","218404","Manhattan","Hell's Kitchen","40.76307","-73.99665","Entire home/apt","275","1","41","2019-06-26","0.38","1","299"
"48719","221873","Manhattan","Lower East Side","40.71882","-73.98852","Entire home/apt","299","2","109","2019-06-15","1.04","1","207"
"50447","9744","Brooklyn","South Slope","40.6693","-73.98804","Entire home/apt","135","5","151","2019-06-22","1.43","3","162"
"51485","236655","Manhattan","Lower East Side","40.72319","-73.99201","Private room","83","1","285","2019-06-22","2.69","1","7"
"51572","237329","Manhattan","Chelsea","40.74859","-73.99671","Private room","123","1","375","2019-06-18","3.52","1","328"
"51850","27848","Queens","Jamaica","40.67252","-73.76597","Private room","55","2","52","2019-05-20","0.49","2","365"
"53469","204539","Queens","Middle Village","40.71722","-73.87856","Entire home/apt","98","30","33","2015-05-09","0.31","5","240"
"53470","204539","Queens","Ridgewood","40.70234","-73.89816","Private room","140","7","6","2015-10-08","0.06","5","365"
"53477","204539","Queens","Middle Village","40.71546","-73.87854","Entire home/apt","265","7","38","2019-04-27","0.38","5","365"
"54158","10889","Brooklyn","Williamsburg","40.7195","-73.95976","Entire home/apt","249","2","358","2019-06-20","3.44","2","164"
"54453","255583","Manhattan","Hell's Kitchen","40.76548","-73.98474","Shared room","105","6","10","2014-01-07","0.09","1","363"
"54466","253385","Manhattan","Harlem","40.80234","-73.95603","Private room","200","30","0","","null","1","365"
"54508","210746","Brooklyn","Prospect Heights","40.6787","-73.97262","Private room","100","2","226","2019-06-06","2.12","3","250"
"54544","256161","Manhattan","Harlem","40.81035","-73.94598","Entire home/apt","121","1","104","2019-06-22","1","5","247"
"54626","190409","Bronx","Highbridge","40.83075","-73.93058","Private room","45","1","138","2019-06-30","1.45","3","323"
"54860","258164","Manhattan","East Harlem","40.79958","-73.94275","Private room","100","5","204","2019-06-23","1.92","1","192"
"55467","260709","Brooklyn","Williamsburg","40.71625","-73.93845","Entire home/apt","140","2","253","2019-07-02","3.04","1","125"
"55498","262138","Brooklyn","Bedford-Stuyvesant","40.6829","-73.93549","Private room","71","2","23","2019-07-01","0.22","1","91"
"55668","88209","Manhattan","NoHo","40.72773","-73.99134","Private room","130","2","115","2018-12-05","1.17","1","75"
"55737","263414","Manhattan","West Village","40.72861","-74.0049","Entire home/apt","199","5","129","2019-05-19","1.22","1","286"
"55959","168525","Brooklyn","Williamsburg","40.70979","-73.95162","Private room","69","4","82","2019-06-10","1.13","2","60"
"56467","267593","Manhattan","East Village","40.72752","-73.98432","Entire home/apt","130","1","204","2019-07-01","2.04","1","192"
"56525","268014","Brooklyn","Greenpoint","40.729","-73.95829","Entire home/apt","195","2","69","2019-06-13","0.65","1","58"
"56859","256161","Manhattan","Harlem","40.81219","-73.94499","Private room","64","1","192","2019-06-03","1.84","5","245"
"57166","272006","Queens","Ditmars Steinway","40.77185","-73.90502","Entire home/apt","140","2","17","2019-06-17","0.16","1","292"
"57297","199392","Brooklyn","Cobble Hill","40.68926","-73.99386","Entire home/apt","159","2","222","2019-06-24","2.12","1","279"
"57618","274557","Manhattan","Hell's Kitchen","40.7672","-73.98508","Entire home/apt","250","3","94","2019-06-09","0.96","1","3"
"57740","275459","Manhattan","East Village","40.73012","-73.99053","Entire home/apt","239","3","7","2019-05-24","0.07","1","351"
"57754","275578","Manhattan","Flatiron District","40.7403","-73.98498","Entire home/apt","305","2","108","2019-06-30","1.09","1","201"
"57874","276291","Manhattan","Harlem","40.80931","-73.94343","Entire home/apt","155","3","222","2019-06-26","2.1","2","232"
"58059","277379","Manhattan","Harlem","40.8251","-73.94287","Private room","60","1","458","2019-07-03","4.58","2","258"
"58062","277394","Brooklyn","Windsor Terrace","40.6585","-73.98397","Private room","135","2","21","2019-05-17","0.26","1","272"
"58467","279797","Manhattan","Roosevelt Island","40.76193","-73.9501","Private room","120","7","17","2019-05-08","0.3","1","341"
"59014","282927","Manhattan","Lower East Side","40.72052","-73.98589","Entire home/apt","150","3","41","2019-01-02","0.39","1","244"
"59121","204539","Queens","Ridgewood","40.70411","-73.89934","Entire home/apt","140","14","1","2012-09-17","0.01","5","365"
"59642","274782","Brooklyn","Greenpoint","40.73401","-73.95967","Entire home/apt","135","2","69","2019-05-19","0.67","1","12"
"59709","186084","Manhattan","Chinatown","40.71756","-73.99503","Entire home/apt","250","4","18","2019-07-01","0.18","2","265"
"60164","289653","Manhattan","SoHo","40.72003","-74.00262","Entire home/apt","500","4","94","2019-06-23","0.99","1","329"
"60457","99212","Manhattan","Greenwich Village","40.73194","-73.99474","Entire home/apt","225","5","10","2019-05-11","0.1","1","91"
"60611","292204","Manhattan","East Harlem","40.79163","-73.94573","Entire home/apt","125","28","183","2018-09-29","1.83","2","365"
"60666","256161","Manhattan","Harlem","40.8118","-73.94434","Private room","92","1","189","2019-06-11","1.82","5","253"
"60673","249372","Manhattan","Harlem","40.81583","-73.94707","Private room","175","2","1","2018-10-07","0.11","1","365"
"60680","292630","Manhattan","East Village","40.72654","-73.98049","Entire home/apt","99","2","127","2019-06-20","1.22","1","320"
"60948","126607","Manhattan","East Harlem","40.80942","-73.93936","Entire home/apt","140","3","135","2019-06-20","1.3","3","192"
"61224","291112","Manhattan","Chelsea","40.74358","-74.00027","Entire home/apt","500","2","35","2017-07-27","0.34","1","348"
"61492","297769","Manhattan","Chinatown","40.71445","-73.9908","Private room","120","4","171","2019-06-23","1.8","2","353"
"61509","23619","Manhattan","Midtown","40.75749","-73.96897","Entire home/apt","110","200","92","2019-04-30","0.9","1","140"
"62095","281764","Brooklyn","East Flatbush","40.64446","-73.9503","Entire home/apt","65","3","238","2019-06-14","2.3","1","2"
"62427","303882","Manhattan","East Village","40.7268","-73.99079","Entire home/apt","130","50","56","2019-05-26","0.58","1","56"
"62430","197755","Brooklyn","Bushwick","40.688","-73.9171","Entire home/apt","99","3","111","2019-06-22","2.13","1","68"
"62452","303939","Staten Island","Tompkinsville","40.63536","-74.08537","Private room","36","2","193","2019-06-25","1.85","6","360"
"62787","303939","Staten Island","Tompkinsville","40.63518","-74.08546","Private room","37","2","177","2019-07-02","1.71","6","320"
"62891","306545","Manhattan","East Village","40.72477","-73.98161","Entire home/apt","175","3","185","2019-05-24","1.78","2","326"
"62903","306605","Manhattan","Chelsea","40.74238","-73.99567","Entire home/apt","205","9","62","2019-06-21","0.7","2","76"
"62925","306739","Brooklyn","Greenpoint","40.72945","-73.95511","Entire home/apt","285","3","124","2019-06-16","1.22","3","279"
"63299","308875","Brooklyn","Williamsburg","40.70763","-73.95177","Private room","59","2","181","2019-06-23","1.77","2","15"
"63320","303939","Staten Island","Tompkinsville","40.63481","-74.08519","Private room","36","2","333","2019-07-02","3.19","6","340"
"63360","307962","Queens","Astoria","40.75384","-73.91433","Entire home/apt","99","5","441","2019-06-24","4.5","1","226"
"63546","308652","Brooklyn","Kensington","40.64106","-73.97426","Private room","39","1","45","2019-05-16","0.46","2","365"
"63588","295128","Bronx","Clason Point","40.81309","-73.85514","Private room","90","2","0","","null","7","349"
"63610","310670","Bronx","Eastchester","40.88057","-73.83572","Entire home/apt","105","2","38","2019-06-27","0.5","13","365"
"63657","170510","Brooklyn","Bedford-Stuyvesant","40.68236","-73.94314","Entire home/apt","135","2","248","2019-06-25","2.39","2","11"
"63693","306545","Manhattan","East Village","40.72185","-73.98246","Entire home/apt","390","5","143","2019-06-19","1.38","2","316"
"63719","311286","Brooklyn","Bedford-Stuyvesant","40.68503","-73.95385","Private room","70","3","36","2018-08-19","0.41","4","281"
"63913","312288","Manhattan","Inwood","40.86648","-73.9263","Private room","75","7","0","","null","2","323"
"64000","312722","Brooklyn","Williamsburg","40.7069","-73.95467","Private room","60","17","14","2019-01-07","0.14","4","362"
